Season,League,,,,,,,,,FA,Lg,Other competitions,,,,,,,Top goalscorer(s)[A],
,Division,P,W,D,L,F,A,Pts,Pos,Cup,Cup,CS,CL,UC,CW,SC,CWC,FM,Name,Goals
1986–87,Div 1,42,13,13,16,53,64,52,14th,R4,R3,,,N/A,,,,R4,,12
1987–88,Div 1 ?,40,9,15,16,50,68,42,18th[K],R4,R2,,,,,,,R3,Gordon Durie,20
1988–89,Div 2 ?,46,29,12,5,96,50,99,1st,R3,R2,,,,,,,R3,Kerry Dixon,28
1989–90,Div 1,38,16,12,10,58,50,60,5th,R4,R2,,,,,,,W,,25
1990–91,Div 1,38,13,10,15,58,69,49,11th,R3,SF,,,N/A,,,,R3,Kerry Dixon,15
,,,,,,,,,,,,,,,,,,,Gordon Durie,
1991–92,Div 1,42,13,14,15,50,60,53,14th,QF,R2,,,,,,,SF,Dennis Wise,14
1992–93,Prem,42,14,14,14,51,54,56,11th,R3,QF,,,,,,,,Mick Harford,11
1993–94,Prem,42,13,12,17,49,53,51,14th,RU,R3,,,,,,,,Gavin Peacock,14
,,,,,,,,,,,,,,,,,,,Mark Stein,
1994–95,Prem,42,13,15,14,50,55,54,11th,R4,R3,,,,SF,,,,Paul Furlong,13
,,,,,,,,,,,,,,,,,,,John Spencer,
1995–96,Prem,38,12,14,12,46,44,50,11th,SF,R2,,,,,,,,John Spencer,14
1996–97,Prem,38,16,11,11,58,55,59,6th,W,R3,,,,,,,,Mark Hughes,14
1997–98,Prem,38,20,3,15,71,43,63,4th,R3,W,RU,,,W,,,,Gianluca Vialli,19
1998–99,Prem,38,20,15,3,57,30,75,3rd,QF,QF,,,,SF,W,,,Gianfranco Zola,15
1999–2000,Prem,38,18,11,9,53,34,65,5th,W,R3,,QF,,,,,,Tore André Flo,19
2000–01,Prem,38,17,10,11,68,45,61,6th,R5,R3,W,,R1,,,,,Jimmy Floyd Hasselbaink,26 [L]
2001–02,Prem,38,17,13,8,66,38,64,6th,RU,SF,,,R2,,,,,,29
2002–03,Prem,38,19,10,9,68,38,67,4th,QF,QF,,,R1,,,,,Gianfranco Zola,16
2003–04,Prem,38,24,7,7,67,30,79,2nd,R5,QF,,SF,,,,,,Jimmy Floyd Hasselbaink,17
2004–05,Prem,38,29,8,1,72,15,95,1st,R5,W,,SF,,,,,,Frank Lampard,19
2005–06,Prem,38,29,4,5,72,22,91,1st,SF,R3,W,R16,,,,,,,20
2006–07,Prem,38,24,11,3,64,24,83,2nd,W,W,RU,SF,,,,,,Didier Drogba,33[M]
2007–08,Prem,38,25,10,3,65,26,85,2nd,QF,RU,RU,RU,,,,,,Frank Lampard,20
2008–09,Prem,38,25,8,5,68,24,83,3rd,W,R4,,SF,,,,,,Nicolas Anelka,25[N]
2009–10,Prem,38,27,5,6,103,32,86,1st,W,QF,W,R16,,,,,,Didier Drogba,37[O]
2010–11,Prem,38,21,8,9,69,33,71,2nd,R4,R3,RU,QF,,,,,,Nicolas Anelka,16
2011–12,Prem,38,18,10,10,65,46,64,6th,W,QF,,W,,,,,,Frank Lampard,16
2012–13,Prem,38,22,9,7,75,39,75,3rd,SF,SF,RU,GS,W,,RU,RU,,Fernando Torres,22
2013–14,Prem,38,25,7,6,71,27,82,3rd,R5,QF,,SF,,,RU,,,Eden Hazard,17
2014–15,Prem,38,26,9,3,73,32,87,1st,R4,W,,R16,,,,,,Diego Costa,21
2015–16,Prem,38,12,14,12,59,53,50,10th,QF,R4,RU,R16,,,,,,,16
2016–17,Prem,38,30,3,5,85,33,93,1st,RU,R4,,,,,,,,,22
2017–18,Prem,38,21,7,10,62,38,70,5th,W,SF,RU,R16,,,,,,Eden Hazard,17
